Date/Time,Lat,Lon,Base
05/01/14 7:32,40.787,-73.9692,B02512
05/01/14 7:35,40.6527,-73.9344,B02512
05/01/14 7:35,40.7812,-73.5583,B02512
05/01/14 7:35,40.7367,-73.9887,B02512
05/01/14 7:35,40.7777,-73.9749,B02512
05/01/14 7:35,40.7396,-73.9963,B02512
05/01/14 7:38,40.7369,-74.0032,B02512
05/01/14 7:38,40.749,-73.9399,B02512
05/01/14 7:38,40.7861,-73.9506,B02512
05/01/14 7:39,40.7119,-74.0061,B02512
05/01/14 7:40,40.7648,-73.9684,B02512
05/01/14 7:41,40.7633,-73.9778,B02512
05/01/14 7:41,40.7415,-73.9833,B02512
05/01/14 7:41,40.7639,-73.9789,B02512
05/01/14 7:44,40.726,-73.9918,B02512
05/01/14 7:44,40.7766,-73.9486,B02512
05/01/14 7:45,40.7686,-73.9579,B02512
05/01/14 7:46,40.7581,-73.9933,B02512
05/01/14 7:46,40.7576,-73.975,B02512
05/01/14 7:46,40.7806,-73.9542,B02512
05/01/14 7:46,40.7261,-73.9927,B02512
05/01/14 7:47,40.6444,-73.7834,B02512
05/01/14 7:48,40.7406,-73.9975,B02512
05/01/14 7:49,40.7586,-73.9934,B02512
05/01/14 7:50,40.7518,-73.9758,B02512
05/01/14 7:50,40.7364,-73.9944,B02512
05/01/14 7:51,40.7634,-73.9792,B02512
05/01/14 7:51,40.7735,-73.9791,B02512
05/01/14 7:52,40.7803,-73.9573,B02512
05/01/14 7:54,40.7899,-73.9523,B02512
05/01/14 7:54,40.688,-74.1829,B02512
05/01/14 7:55,40.7275,-73.9922,B02512
05/01/14 7:56,40.7605,-73.9868,B02512
05/01/14 7:56,40.7307,-73.9831,B02512
05/01/14 7:56,40.7411,-73.9846,B02512
05/01/14 7:57,40.7784,-73.961,B02512
05/01/14 7:57,40.7367,-73.9867,B02512
05/01/14 8:00,40.7846,-73.9579,B02512
05/01/14 8:00,40.7846,-73.9579,B02512
05/01/14 8:00,40.7835,-73.9707,B02512
05/01/14 8:00,40.7617,-73.9693,B02512
05/01/14 8:01,40.7553,-73.9752,B02512
05/01/14 8:02,40.7742,-73.8719,B02512
05/01/14 8:03,40.7263,-73.9928,B02512
05/01/14 8:03,40.7856,-73.9703,B02512
05/01/14 8:03,40.7641,-73.9788,B02512
05/01/14 8:03,40.7861,-73.9815,B02512
05/01/14 8:04,40.7707,-73.9575,B02512
05/01/14 8:05,40.7523,-73.982,B02512
05/01/14 8:06,40.7497,-73.9936,B02512
05/01/14 8:06,40.7644,-73.9656,B02512
05/01/14 8:06,40.718,-74.0098,B02512
05/01/14 8:07,40.7558,-73.9634,B02512
05/01/14 8:08,40.7493,-73.9923,B02512
05/01/14 8:08,40.6959,-73.9939,B02512
05/01/14 8:08,40.7655,-73.9821,B02512
05/01/14 8:08,40.7382,-73.9892,B02512
05/01/14 8:11,40.7221,-73.9966,B02512
05/01/14 8:12,40.7289,-74.0034,B02512
05/01/14 8:13,40.7516,-73.9779,B02512
05/01/14 8:14,40.6091,-74.2756,B02512
05/01/14 8:14,40.7458,-73.9882,B02512
05/01/14 8:15,40.7334,-73.9898,B02512
05/01/14 8:16,40.7763,-73.9467,B02512
05/01/14 8:18,40.7724,-73.9497,B02512
05/01/14 8:18,40.7309,-73.9931,B02512
05/01/14 8:18,40.7265,-73.9864,B02512
05/01/14 8:19,40.685,-73.984,B02512
05/01/14 8:19,40.7555,-73.9731,B02512
05/01/14 8:19,40.7663,-73.9606,B02512
05/01/14 8:19,40.7187,-74.2179,B02512
05/01/14 8:19,40.7317,-73.9756,B02512
05/01/14 8:20,40.727,-73.9802,B02512
05/01/14 8:23,40.7741,-73.8726,B02512
05/01/14 8:23,40.7345,-73.9859,B02512
05/01/14 8:23,40.7633,-73.9807,B02512
05/01/14 8:24,40.7244,-73.9877,B02512
05/01/14 8:25,40.7433,-73.9802,B02512
05/01/14 8:25,40.7765,-73.9821,B02512
05/01/14 8:25,40.7765,-73.9821,B02512
05/01/14 8:25,40.7503,-73.9912,B02512
05/01/14 8:27,40.7412,-73.9985,B02512
05/01/14 8:28,40.7466,-73.9918,B02512
05/01/14 8:28,40.7561,-73.9727,B02512
05/01/14 8:28,40.7386,-73.9854,B02512
05/01/14 8:29,40.7664,-73.9606,B02512
05/01/14 8:29,40.7663,-73.9779,B02512
05/01/14 8:30,40.7368,-73.9888,B02512
05/01/14 8:30,40.7533,-73.9782,B02512
05/01/14 8:34,40.7149,-74.0119,B02512
05/01/14 8:34,40.7778,-73.9591,B02512
05/01/14 8:34,40.759,-73.9899,B02512
05/01/14 8:37,40.7691,-73.9812,B02512
05/01/14 8:38,40.7247,-74.0008,B02512
05/01/14 8:39,40.7372,-73.9867,B02512
05/01/14 8:40,40.7804,-73.9756,B02512
05/01/14 8:40,40.7328,-73.9921,B02512
05/01/14 8:41,40.7643,-73.9832,B02512
05/01/14 8:42,40.775,-73.9471,B02512
05/01/14 8:42,40.7601,-73.9612,B02512
05/01/14 8:43,40.7825,-73.9776,B02512
05/01/14 8:43,40.7622,-73.9957,B02512
05/01/14 8:45,40.7247,-73.9936,B02512
05/01/14 8:45,40.7739,-73.8727,B02512
05/01/14 8:46,40.7647,-73.9708,B02512
